Match_ID,Home_Team_Score,Away_Team_Score,Accuracy_Status
M-1994-48,2,2,Accurate
M-1994-49,1,2,Accurate
M-1994-50,0,1,Accurate
M-1994-51,4,0,Accurate
M-1994-52,0,0,Accurate
M-1998-01,2,1,Accurate
M-1998-02,2,2,Accurate
M-1998-03,2,2,Accurate
M-1998-04,1,1,Accurate
M-1998-05,0,0,Accurate
M-1998-06,0,1,Accurate
M-1998-07,3,0,Accurate
M-1998-08,2,3,Accurate
M-1998-09,1,3,Accurate
M-1998-10,0,0,Accurate
M-1998-11,1,0,Accurate
M-1998-12,1,0,Accurate
M-1998-13,1,3,Accurate
M-1998-14,2,0,Accurate
M-1998-15,1,0,Accurate
M-1998-16,2,0,Accurate
M-1998-17,1,1,Accurate
M-1998-18,3,0,Accurate
M-1998-19,1,1,Accurate
M-1998-20,3,0,Accurate
M-1998-21,1,1,Accurate
M-1998-22,4,0,Accurate
M-1998-23,1,0,Accurate
M-1998-24,0,0,Accurate
M-1998-25,0,1,Accurate
M-1998-26,2,2,Accurate
M-1998-27,5,0,Accurate
M-1998-28,2,2,Accurate
M-1998-29,5,0,Accurate
M-1998-30,1,2,Accurate
M-1998-31,1,0,Accurate
M-1998-32,2,1,Accurate
M-1998-33,1,1,Accurate
M-1998-34,2,1,Accurate
M-1998-35,1,2,Accurate
M-1998-36,0,3,Accurate
M-1998-37,2,1,Accurate
M-1998-38,2,2,Accurate
M-1998-39,1,3,Accurate
M-1998-40,6,1,Inaccurate
M-1998-41,1,1,Accurate
M-1998-42,2,2,Accurate
M-1998-43,2,0,Accurate
M-1998-44,0,1,Accurate
M-1998-45,1,0,Accurate
M-1998-46,1,2,Accurate
M-1998-47,0,2,Accurate
M-1998-48,1,1,Accurate
M-1998-49,1,0,Accurate
M-1998-50,4,1,Accurate
M-1998-51,1,0,Accurate
M-1998-52,1,4,Accurate
M-1998-53,2,1,Accurate
M-1998-54,2,1,Accurate
M-1998-55,0,1,Accurate
M-1998-56,2,2,Accurate
M-1998-57,0,0,Accurate
M-1998-58,3,2,Accurate
M-1998-59,2,1,Accurate
M-1998-60,0,3,Accurate
M-1998-61,1,1,Accurate
M-1998-62,2,1,Accurate
M-1998-63,1,2,Accurate
M-1998-64,0,3,Accurate
M-2002-01,0,1,Accurate
M-2002-02,1,1,Accurate
M-2002-03,1,2,Accurate
M-2002-04,8,0,Inaccurate
M-2002-05,1,0,Accurate
M-2002-06,2,2,Accurate
M-2002-07,1,1,Accurate
M-2002-08,3,1,Accurate
M-2002-09,0,1,Accurate
M-2002-10,2,1,Accurate
M-2002-11,2,0,Accurate
M-2002-12,0,2,Accurate
M-2002-13,2,2,Accurate
M-2002-14,2,0,Accurate
M-2002-15,2,0,Accurate
M-2002-16,3,2,Accurate
M-2002-17,1,1,Accurate
M-2002-18,1,1,Accurate
M-2002-19,1,0,Accurate
M-2002-20,0,0,Accurate
M-2002-21,2,1,Accurate
M-2002-22,3,1,Accurate
M-2002-23,0,1,Accurate
M-2002-24,1,0,Accurate
M-2002-25,1,2,Accurate
M-2002-26,4,0,Accurate
M-2002-27,2,1,Accurate
M-2002-28,1,1,Accurate
M-2002-29,1,0,Accurate
M-2002-30,1,1,Accurate
M-2002-31,1,1,Accurate
M-2002-32,4,0,Accurate
M-2002-33,2,0,Accurate
M-2002-34,3,3,Accurate
M-2002-35,0,2,Accurate
M-2002-36,0,3,Accurate
M-2002-37,0,0,Accurate
M-2002-38,1,1,Accurate
M-2002-39,1,3,Accurate
M-2002-40,2,3,Accurate
M-2002-41,2,5,Accurate
M-2002-42,3,0,Accurate
M-2002-43,1,0,Accurate
M-2002-44,1,1,Accurate
M-2002-45,3,2,Accurate
M-2002-46,0,2,Accurate
M-2002-47,3,1,Accurate
M-2002-48,0,1,Accurate
M-2002-49,1,0,Accurate
M-2002-50,0,3,Accurate
M-2002-51,1,2,Accurate
M-2002-52,1,1,Accurate
M-2002-53,0,2,Accurate
M-2002-54,2,0,Accurate
M-2002-55,0,1,Accurate
M-2002-56,2,1,Accurate
M-2002-57,1,2,Accurate
M-2002-58,1,0,Accurate
M-2002-59,0,0,Accurate
M-2002-60,0,1,Accurate
M-2002-61,1,0,Accurate
M-2002-62,1,0,Accurate
M-2002-63,2,3,Accurate
M-2002-64,0,2,Accurate
M-2006-01,4,2,Accurate
M-2006-02,0,2,Accurate
M-2006-03,1,0,Accurate
M-2006-04,0,0,Accurate
M-2006-05,2,1,Accurate
M-2006-06,0,1,Accurate
M-2006-07,3,1,Accurate
M-2006-08,0,1,Accurate
M-2006-09,3,1,Accurate
M-2006-10,0,3,Accurate
M-2006-11,2,0,Accurate
M-2006-12,2,1,Accurate
M-2006-13,0,0,Accurate
M-2006-14,1,0,Accurate
M-2006-15,4,0,Accurate
M-2006-16,2,2,Accurate
M-2006-17,1,0,Accurate
M-2006-18,3,0,Accurate
M-2006-19,2,0,Accurate
M-2006-20,1,0,Accurate
M-2006-21,6,0,Inaccurate
M-2006-22,2,1,Accurate
M-2006-23,0,0,Accurate
M-2006-24,2,0,Accurate
M-2006-25,0,2,Accurate
M-2006-26,1,1,Accurate
M-2006-27,0,0,Accurate
M-2006-28,2,0,Accurate
M-2006-29,1,1,Accurate
M-2006-30,0,2,Accurate
M-2006-31,0,4,Accurate
M-2006-32,3,1,Accurate
M-2006-33,1,2,Accurate
M-2006-34,0,3,Accurate
M-2006-35,2,0,Accurate
M-2006-36,2,2,Accurate
M-2006-37,1,1,Accurate
M-2006-38,2,1,Accurate
M-2006-39,3,2,Accurate
M-2006-40,0,0,Accurate
M-2006-41,0,2,Accurate
M-2006-42,2,1,Accurate
